UKE ,DATO ,KIRKEÅRSDAG / ,NØTTERØY ,TEIE ,TORØD ,VEIERLAND ,ANDAKTER ,DÅPS- ,STABS- ,KOR / ,TROS- ,DIAKONI ,DIVERSE 
"","","","",Gudstjeneste ,Kristine/MK ,"",Dag/Ingunn ,"","",Sonja ,Katja ,Margaretha/ ,""
"","","","",Margaretha/ ,"","","","","",16.45-17.45: ,"",MK ,""
"","","","",MK/Jan ,"","",12: ,"","",Øv-Aspirantkor ,"","",""
"","","","","","","",Helsehuset ,"","",Ingunn ,"","",""
"","","","","","","",KOS/Jan ,"","",18-20: ,"","",""
"","","","","","","","","","",Øv-Barnekant. ,"","",""
"","","","","","","","","","",Kristin/Jan ,"","",""
"",21 ,"","",15-18.45: ,19-21.30: ,"",12.15 ,"",09: ,"",11: Babysang ,"",Fagdag diakoner 
"","","","",Konf.underv. ,Alpha-kurs ,"",Bjønnesåsen ,"",S/1 ,"",Torød ,"","Fagdag prester, "
"","","","",Kristine/KOS ,Jan ,"",Nattverd ,"",Ellen/ ,"",Sonja/Anette ,"","undervisninsleder, "
"","","","","","","",Margaretha/ ,"",Ingunn ,"","","",trosopplærere 
"","","","","","","",Wenche ,"","","","","",«Dåpen» 
"",22 ,"",19: ,"","","","","","",16-17.30: ,"","",""
"","","",Konsert ,"","","","","","",Øv-Ungd.kant. ,"","",""
"","","","","","","","","","",Kristin/Ingunn ,"","",""
"","","","","","","","","","",18.15-19.45: ,"","",""
"","","","","","","","","","",Øv-Guttekoret ,"","",""
"","","","","","","","","","",Kristin/Ingunn ,"","",""
"","","","","","","","","","",19.15-21.45: ,"","",""
"","","","","","","","","","",Øv-Kammerkor ,"","",""
"","","","","","","","","","",Jan/Wenche ,"","",""
"","","","","","","","","","",Kl.19: ,"","",""
"","","","","","","","","","",Konsert ,"","",""
"","","","","","","","","","",Nøtterøy kirke ,"","",""
"","","","","","","","","","",«Bach i klang ,"","",""
"","","","","","","","","","",og bilde» ,"","",""
"",23 ,"","","","","",(Ekeberg ,"","","",17.30-19.30: ,"",""
"","","","","","","",flyttet til 30.) ,"","","",Adventura ,"",""
"","","","","","","","","","","",Katja ,"",""
"",24 ,"","","","","","","","","",Bo-hjemme- ,"",""
"","","","","","","","","","","",leir ,"",""
"","","","","","","","","","","",Torød kirkestue ,"",""
"","","","","","","","","","","",Sonja/Ellen ,"",""
"",25 ,Bots- og bønned ,Gudstjeneste ,Gudstjeneste ,Gudstjeneste ,"","","","","",Bo-hjemme- ,"",KOS Sandane 
"","","Luk.18,9-14 ",TOJ/Wenche ,KOS-vikar/ ,Tilrettelagt for ,"","","","","",leir ,"",""
"","","","",Ingunn ,barn ,"","","","","",Torød kirkestue ,"",""
"","","","","",Maks 2 dåp ,"","","","","",Sonja/Ellen ,"",""
"","","","",17: G-17 ,Bo-hjemme-leir ,"","","","","","","",""
"","","","","",IB/Sonja/Ellen/ ,"","","","","","","",""
"","","","","",Jan ,"","","","","","","",""
44 ,26 ,"","","","","","","","","","","",""
UKE ,DATO ,KIRKEÅRSDAG / ,NØTTERØY ,TEIE ,TORØD ,VEIERLAND ,ANDAKTER ,DÅPS- ,STABS- ,KOR / ,TROS- ,DIAKONI ,DIVERSE 
